Model,Accuracy,ROC-AUC,CV Mean,CV Std
Logistic Regression,0.6698514344262295,0.7289789302778039,0.7300488341766578,0.0022531107235637597
Random Forest,0.7757172131147541,0.8527549292526173,0.8395395595037074,0.001889475683303198
XGBoost,0.703688524590164,0.7769072869625255,0.7742881764471874,0.003233034139466602
